n_layers, n_units, dropout_rate, learning_rate, accuracy

n_layers: 2, n_units: 64, dropout_rate: 0.3, learning_rate: 0.001, accuracy: 0.739642858505249
n_layers: 2, n_units: 64, dropout_rate: 0.3, learning_rate: 0.01, accuracy: 0.7384285926818848
n_layers: 2, n_units: 64, dropout_rate: 0.3, learning_rate: 0.1, accuracy: 0.7386428713798523
n_layers: 2, n_units: 64, dropout_rate: 0.5, learning_rate: 0.001, accuracy: 0.7390714287757874
n_layers: 2, n_units: 64, dropout_rate: 0.5, learning_rate: 0.01, accuracy: 0.7384999990463257
n_layers: 2, n_units: 64, dropout_rate: 0.5, learning_rate: 0.1, accuracy: 0.7389285564422607
n_layers: 2, n_units: 64, dropout_rate: 0.7, learning_rate: 0.001, accuracy: 0.7367143034934998
n_layers: 2, n_units: 64, dropout_rate: 0.7, learning_rate: 0.01, accuracy: 0.7348571419715881
n_layers: 2, n_units: 64, dropout_rate: 0.7, learning_rate: 0.1, accuracy: 0.737928569316864
n_layers: 2, n_units: 128, dropout_rate: 0.3, learning_rate: 0.001, accuracy: 0.7405714392662048
n_layers: 2, n_units: 128, dropout_rate: 0.3, learning_rate: 0.01, accuracy: 0.7387142777442932
n_layers: 2, n_units: 128, dropout_rate: 0.3, learning_rate: 0.1, accuracy: 0.7400714159011841
n_layers: 2, n_units: 128, dropout_rate: 0.5, learning_rate: 0.001, accuracy: 0.7397142648696899
n_layers: 2, n_units: 128, dropout_rate: 0.5, learning_rate: 0.01, accuracy: 0.7402142882347107
n_layers: 2, n_units: 128, dropout_rate: 0.5, learning_rate: 0.1, accuracy: 0.7394999861717224
n_layers: 2, n_units: 128, dropout_rate: 0.7, learning_rate: 0.001, accuracy: 0.7367857098579407
n_layers: 2, n_units: 128, dropout_rate: 0.7, learning_rate: 0.01, accuracy: 0.7367143034934998
n_layers: 2, n_units: 128, dropout_rate: 0.7, learning_rate: 0.1, accuracy: 0.7353571653366089
n_layers: 2, n_units: 256, dropout_rate: 0.3, learning_rate: 0.001, accuracy: 0.737928569316864
n_layers: 2, n_units: 256, dropout_rate: 0.3, learning_rate: 0.01, accuracy: 0.7344285845756531
n_layers: 2, n_units: 256, dropout_rate: 0.3, learning_rate: 0.1, accuracy: 0.7379999756813049
n_layers: 2, n_units: 256, dropout_rate: 0.5, learning_rate: 0.001, accuracy: 0.7375714182853699
n_layers: 2, n_units: 256, dropout_rate: 0.5, learning_rate: 0.01, accuracy: 0.7376428842544556
n_layers: 2, n_units: 256, dropout_rate: 0.5, learning_rate: 0.1, accuracy: 0.7378571629524231
n_layers: 2, n_units: 256, dropout_rate: 0.7, learning_rate: 0.001, accuracy: 0.7360714077949524
n_layers: 2, n_units: 256, dropout_rate: 0.7, learning_rate: 0.01, accuracy: 0.736214280128479
n_layers: 2, n_units: 256, dropout_rate: 0.7, learning_rate: 0.1, accuracy: 0.7372857332229614
n_layers: 3, n_units: 64, dropout_rate: 0.3, learning_rate: 0.001, accuracy: 0.7399285435676575
n_layers: 3, n_units: 64, dropout_rate: 0.3, learning_rate: 0.01, accuracy: 0.7405714392662048
n_layers: 3, n_units: 64, dropout_rate: 0.3, learning_rate: 0.1, accuracy: 0.7391428351402283
n_layers: 3, n_units: 64, dropout_rate: 0.5, learning_rate: 0.001, accuracy: 0.7407143115997314
n_layers: 3, n_units: 64, dropout_rate: 0.5, learning_rate: 0.01, accuracy: 0.7387142777442932
n_layers: 3, n_units: 64, dropout_rate: 0.5, learning_rate: 0.1, accuracy: 0.7360714077949524
n_layers: 3, n_units: 64, dropout_rate: 0.7, learning_rate: 0.001, accuracy: 0.7355714440345764
n_layers: 3, n_units: 64, dropout_rate: 0.7, learning_rate: 0.01, accuracy: 0.7388571500778198
n_layers: 3, n_units: 64, dropout_rate: 0.7, learning_rate: 0.1, accuracy: 0.7272857427597046
n_layers: 3, n_units: 128, dropout_rate: 0.3, learning_rate: 0.001, accuracy: 0.7372142672538757
n_layers: 3, n_units: 128, dropout_rate: 0.3, learning_rate: 0.01, accuracy: 0.739214301109314
n_layers: 3, n_units: 128, dropout_rate: 0.3, learning_rate: 0.1, accuracy: 0.7377856969833374
n_layers: 3, n_units: 128, dropout_rate: 0.5, learning_rate: 0.001, accuracy: 0.7402856945991516
n_layers: 3, n_units: 128, dropout_rate: 0.5, learning_rate: 0.01, accuracy: 0.7387142777442932
n_layers: 3, n_units: 128, dropout_rate: 0.5, learning_rate: 0.1, accuracy: 0.7401428818702698
n_layers: 3, n_units: 128, dropout_rate: 0.7, learning_rate: 0.001, accuracy: 0.7389285564422607
n_layers: 3, n_units: 128, dropout_rate: 0.7, learning_rate: 0.01, accuracy: 0.7382857203483582
n_layers: 3, n_units: 128, dropout_rate: 0.7, learning_rate: 0.1, accuracy: 0.7387857437133789
n_layers: 3, n_units: 256, dropout_rate: 0.3, learning_rate: 0.001, accuracy: 0.7408571243286133
n_layers: 3, n_units: 256, dropout_rate: 0.3, learning_rate: 0.01, accuracy: 0.7375714182853699
n_layers: 3, n_units: 256, dropout_rate: 0.3, learning_rate: 0.1, accuracy: 0.7398571372032166
n_layers: 3, n_units: 256, dropout_rate: 0.5, learning_rate: 0.001, accuracy: 0.7405714392662048
n_layers: 3, n_units: 256, dropout_rate: 0.5, learning_rate: 0.01, accuracy: 0.7394285798072815
n_layers: 3, n_units: 256, dropout_rate: 0.5, learning_rate: 0.1, accuracy: 0.739642858505249
n_layers: 3, n_units: 256, dropout_rate: 0.7, learning_rate: 0.001, accuracy: 0.7354999780654907
n_layers: 3, n_units: 256, dropout_rate: 0.7, learning_rate: 0.01, accuracy: 0.7366428375244141
n_layers: 3, n_units: 256, dropout_rate: 0.7, learning_rate: 0.1, accuracy: 0.7365714311599731
n_layers: 4, n_units: 64, dropout_rate: 0.3, learning_rate: 0.001, accuracy: 0.739214301109314
n_layers: 4, n_units: 64, dropout_rate: 0.3, learning_rate: 0.01, accuracy: 0.7415714263916016
n_layers: 4, n_units: 64, dropout_rate: 0.3, learning_rate: 0.1, accuracy: 0.736214280128479
n_layers: 4, n_units: 64, dropout_rate: 0.5, learning_rate: 0.001, accuracy: 0.7407857179641724
n_layers: 4, n_units: 64, dropout_rate: 0.5, learning_rate: 0.01, accuracy: 0.7372857332229614
n_layers: 4, n_units: 64, dropout_rate: 0.5, learning_rate: 0.1, accuracy: 0.7390714287757874
n_layers: 4, n_units: 64, dropout_rate: 0.7, learning_rate: 0.001, accuracy: 0.7356428503990173
n_layers: 4, n_units: 64, dropout_rate: 0.7, learning_rate: 0.01, accuracy: 0.7351428866386414
n_layers: 4, n_units: 64, dropout_rate: 0.7, learning_rate: 0.1, accuracy: 0.7337856888771057
n_layers: 4, n_units: 128, dropout_rate: 0.3, learning_rate: 0.001, accuracy: 0.741357147693634
n_layers: 4, n_units: 128, dropout_rate: 0.3, learning_rate: 0.01, accuracy: 0.7378571629524231
n_layers: 4, n_units: 128, dropout_rate: 0.3, learning_rate: 0.1, accuracy: 0.7395714521408081
n_layers: 4, n_units: 128, dropout_rate: 0.5, learning_rate: 0.001, accuracy: 0.7371428608894348
n_layers: 4, n_units: 128, dropout_rate: 0.5, learning_rate: 0.01, accuracy: 0.7360714077949524
n_layers: 4, n_units: 128, dropout_rate: 0.5, learning_rate: 0.1, accuracy: 0.7367143034934998
n_layers: 4, n_units: 128, dropout_rate: 0.7, learning_rate: 0.001, accuracy: 0.7183571457862854
n_layers: 4, n_units: 128, dropout_rate: 0.7, learning_rate: 0.01, accuracy: 0.7256428599357605
n_layers: 4, n_units: 128, dropout_rate: 0.7, learning_rate: 0.1, accuracy: 0.7251428365707397
n_layers: 4, n_units: 256, dropout_rate: 0.3, learning_rate: 0.001, accuracy: 0.7384999990463257
